city,latitude,longitude,average_temp,lat,lon
Kabul,34.56N,"70.05E",27.387,34.56,70.05
Kabul,34.56N,"70.05E",26.403,34.56,70.05
Kabul,34.56N,"70.05E",25.649,34.56,70.05
Kabul,34.56N,"70.05E",22.068,34.56,70.05
Kabul,34.56N,"70.05E",15.815,34.56,70.05
Kabul,34.56N,"70.05E",10.614,34.56,70.05
Kabul,34.56N,"70.05E",3.767,34.56,70.05
Kabul,34.56N,"70.05E",0.399,34.56,70.05
Kabul,34.56N,"70.05E",1.0,34.56,70.05
Kabul,34.56N,"70.05E",8.69,34.56,70.05
Kabul,34.56N,"70.05E",15.46,34.56,70.05
Kabul,34.56N,"70.05E",20.218,34.56,70.05
Kabul,34.56N,"70.05E",25.0,34.56,70.05
Kabul,34.56N,"70.05E",27.583,34.56,70.05
Kabul,34.56N,"70.05E",25.524,34.56,70.05
Kabul,34.56N,"70.05E",21.043,34.56,70.05
Kabul,34.56N,"70.05E",15.716,34.56,70.05
Kabul,34.56N,"70.05E",9.465,34.56,70.05
Kabul,34.56N,"70.05E",4.026,34.56,70.05
Kabul,34.56N,"70.05E",2.347,34.56,70.05
Kabul,34.56N,"70.05E",4.802,34.56,70.05
Kabul,34.56N,"70.05E",8.681,34.56,70.05
Kabul,34.56N,"70.05E",14.936,34.56,70.05
Kabul,34.56N,"70.05E",21.245,34.56,70.05
Kabul,34.56N,"70.05E",25.859,34.56,70.05
Kabul,34.56N,"70.05E",26.805,34.56,70.05
Kabul,34.56N,"70.05E",24.974,34.56,70.05
Kabul,34.56N,"70.05E",0.0,34.56,70.05
Luanda,8.84S,"13.78E",25.353,-8.84,13.78
Luanda,8.84S,"13.78E",26.013,-8.84,13.78
Luanda,8.84S,"13.78E",26.147,-8.84,13.78
Luanda,8.84S,"13.78E",26.18,-8.84,13.78
Luanda,8.84S,"13.78E",24.828,-8.84,13.78
Luanda,8.84S,"13.78E",22.011,-8.84,13.78
Luanda,8.84S,"13.78E",20.088,-8.84,13.78
Luanda,8.84S,"13.78E",20.688,-8.84,13.78
Luanda,8.84S,"13.78E",22.613,-8.84,13.78
Luanda,8.84S,"13.78E",24.171,-8.84,13.78
Luanda,8.84S,"13.78E",24.883,-8.84,13.78
Luanda,8.84S,"13.78E",24.875,-8.84,13.78
Luanda,8.84S,"13.78E",25.296,-8.84,13.78
Luanda,8.84S,"13.78E",25.92,-8.84,13.78
Luanda,8.84S,"13.78E",25.958,-8.84,13.78
Luanda,8.84S,"13.78E",26.017,-8.84,13.78
Luanda,8.84S,"13.78E",23.655,-8.84,13.78
Luanda,8.84S,"13.78E",21.83,-8.84,13.78
Luanda,8.84S,"13.78E",20.045,-8.84,13.78
Luanda,8.84S,"13.78E",20.528,-8.84,13.78
